type,student_id,student_name,score,correct_count,state_json,pages,Tags
state,,,,,"{""state"":""closed"",""current_page"":3,""total_pages"":4,""quiz_id"":30877,""course_id"":5155,""quiz_name"":""Questionário teste 2"",""ends_at"":""2026-03-23T23:39:32.779Z""}",[],
score,328101,"Cocca Eletrica",,,,"[0,1,2,3]",
